kepid,probability,tier
10878117,0.77886575,High
4262040,0.7785641,High
8872048,0.7773302,High
6350882,0.775881,High
9579208,0.77500004,High
9214713,0.773805,High
10678912,0.77354056,High
4277304,0.7734256,High
3122872,0.7724158,High
8552202,0.77100915,High
5129453,0.77093494,High
10844890,0.77027917,High
5004909,0.7656129,High
4049901,0.7648331,High
5306984,0.7644181,High
9292100,0.7613692,High
6359929,0.75903285,High
11856178,0.7587153,High
7609674,0.75601405,High
2997459,0.7531085,High
6974658,0.7522288,High
4939533,0.75032234,High
3663173,0.746872,Medium
5352640,0.746459,Medium
7907808,0.74521583,Medium
4276716,0.7424644,Medium
6946681,0.74088824,Medium
7446631,0.74046534,Medium
9580992,0.7387843,Medium
8581240,0.7380897,Medium
12071754,0.73598677,Medium
6947668,0.73396724,Medium
8374077,0.7332462,Medium
2852810,0.73247516,Medium
7801070,0.7314205,Medium
8227464,0.7311557,Medium
9881660,0.730062,Medium
9140402,0.7287478,Medium
7881464,0.7284292,Medium
11341164,0.7264064,Medium
6837283,0.72253317,Medium
5792202,0.72207165,Medium
12645057,0.72181165,Medium
5954001,0.72132957,Medium
10190075,0.7194193,Medium
10200627,0.7191993,Medium
8040308,0.7191556,Medium
12647577,0.71885866,Medium
8365739,0.7182571,Medium
12350136,0.71772075,Medium
11357664,0.7153892,Medium
8429817,0.714617,Medium
11071200,0.71414465,Medium
8094942,0.71387523,Medium
10265602,0.71311504,Medium
11100170,0.7124663,Medium
5551672,0.7089764,Medium
10850327,0.7084082,Medium
12734396,0.706786,Medium
10319385,0.70642364,Medium
9574158,0.70616174,Medium
10397751,0.70112425,Medium
10813078,0.70061177,Medium
5283458,0.69846356,Medium
1718189,0.69628984,Medium
6364215,0.6951917,Medium
10336951,0.69401354,Medium
6867155,0.69348365,Medium
7135549,0.692373,Medium
7017274,0.6904824,Medium
5475042,0.68939906,Medium
11176166,0.6893437,Medium
4770174,0.6890237,Medium
9031703,0.68521917,Medium
11493378,0.6810266,Medium
2861126,0.67523426,Medium
11361283,0.6737571,Medium
6697817,0.672647,Medium
12602314,0.67105824,Medium
9642018,0.6639804,Medium
11970988,0.6634425,Medium
5985713,0.6629034,Medium
4063943,0.66031337,Medium
5095635,0.6597946,Medium
8120820,0.6579386,Medium
10394802,0.65722114,Medium
9002538,0.656375,Medium
3223433,0.65445125,Medium
10098540,0.65214384,Medium
4902202,0.6501703,Medium
11145637,0.64994144,Medium
3236705,0.6486636,Medium
9230021,0.64785194,Medium
